Scopus-101-Analyze-Country

"Your query : (TITLE-ABS-KEY(fault tolerance satellite architecture))"


Number of results : 101

"COUNTRY/TERRITORY",
"United States","23"
"China","21"
"Italy","10"
"Germany","9"
"Japan","6"
"France","5"
"India","5"
"Canada","3"
"Mexico","3"
"Netherlands","3"
"Singapore","3"
"New Zealand","2"
"Romania","2"
"United Kingdom","2"
"Belgium","1"
"Brazil","1"
"Cyprus","1"
"Hong Kong","1"
"Indonesia","1"
"Morocco","1"
"Norway","1"
"Poland","1"
"South Korea","1"
"Switzerland","1"
"Undefined","9"
