Scopus-385-Analyze-Year

"Your query : (TITLE-ABS-KEY(fault tolerance satellite ))"


Number of results : 385

"YEAR",
"2016","37"
"2015","30"
"2014","32"
"2013","14"
"2012","20"
"2011","25"
"2010","29"
"2009","19"
"2008","21"
"2007","28"
"2006","16"
"2005","13"
"2004","8"
"2003","9"
"2002","9"
"2001","8"
"2000","6"
"1999","2"
"1998","3"
"1997","6"
"1996","4"
"1995","7"
"1994","3"
"1993","7"
"1992","0"
"1991","2"
"1990","6"
"1989","3"
"1988","1"
"1987","3"
"1986","3"
"1985","3"
"1984","2"
"1983","2"
"1982","1"
"1981","1"
"1980","1"
"1979","0"
"1978","0"
"1977","0"
"1976","0"
"1975","0"
"1974","0"
"1973","0"
"1972","0"
"1971","1"
