Scopus-2047-Analyze-Year

"Your query : (COTS satellite)"


Number of results : 2047

"YEAR",
"2016","165"
"2015","164"
"2014","157"
"2013","140"
"2012","169"
"2011","150"
"2010","138"
"2009","114"
"2008","115"
"2007","101"
"2006","99"
"2005","90"
"2004","83"
"2003","67"
"2002","42"
"2001","30"
"2000","25"
"1999","23"
"1998","31"
"1997","24"
"1996","28"
"1995","16"
"1994","5"
"1993","1"
"1992","3"
"1991","1"
"1990","4"
"1989","2"
"1988","1"
"1987","2"
"1986","2"
"1985","5"
"1984","4"
"1983","5"
"1982","4"
"1981","2"
"1980","2"
"1979","3"
"1978","5"
"1977","4"
"1976","5"
"1975","4"
"1974","6"
"1973","4"
"1972","1"
"1971","1"
