Scopus-753-Analyze-Year

"Your query : (TITLE-ABS-KEY(cots satellites))"


Number of results : 753

"YEAR",
"2016","38"
"2015","53"
"2014","42"
"2013","51"
"2012","62"
"2011","43"
"2010","46"
"2009","36"
"2008","58"
"2007","41"
"2006","42"
"2005","32"
"2004","38"
"2003","30"
"2002","18"
"2001","16"
"2000","12"
"1999","13"
"1998","18"
"1997","13"
"1996","20"
"1995","9"
"1994","3"
"1993","0"
"1992","0"
"1991","1"
"1990","0"
"1989","0"
"1988","0"
"1987","1"
"1986","1"
"1985","3"
"1984","0"
"1983","3"
"1982","1"
"1981","1"
"1980","1"
"1979","2"
"1978","1"
"1977","0"
"1976","1"
"1975","1"
"1974","1"
"1973","1"
